Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
diabetes,60%,all,NB,2,2,202,0.5691
diabetes,60%,all,XGBoost,2,1,101,0.6165
diabetes,60%,all,XGBoost,2,2,202,0.6109
serce,ORYGINALNY,raw,RF,0,1,101,0.8958
serce,ORYGINALNY,raw,RF,0,2,202,0.882
serce,ORYGINALNY,raw,NB,0,1,101,0.896
serce,ORYGINALNY,raw,NB,0,2,202,0.8978
serce,ORYGINALNY,raw,XGBoost,0,1,101,0.891
serce,ORYGINALNY,raw,XGBoost,0,2,202,0.8775
serce,20%,raw,RF,1,1,101,0.8431
serce,20%,raw,RF,1,2,202,0.7863
serce,20%,raw,NB,1,1,101,0.5263
serce,20%,raw,NB,1,2,202,0.4897
serce,20%,raw,XGBoost,1,1,101,0.8498
serce,20%,raw,XGBoost,1,2,202,0.7858
serce,20%,fill,RF,1,1,101,0.8247
serce,20%,fill,RF,1,2,202,0.8033
serce,20%,fill,NB,1,1,101,0.6217
serce,20%,fill,NB,1,2,202,0.6208
serce,20%,fill,XGBoost,1,1,101,0.827
serce,20%,fill,XGBoost,1,2,202,0.7803
serce,20%,remove_fill,RF,1,1,101,0.8537
serce,20%,remove_fill,RF,1,2,202,0.8331
serce,20%,remove_fill,NB,1,1,101,0.7585
serce,20%,remove_fill,NB,1,2,202,0.7362
serce,20%,remove_fill,XGBoost,1,1,101,0.8275
serce,20%,remove_fill,XGBoost,1,2,202,0.8183
serce,20%,fill_norm,RF,1,1,101,0.824
serce,20%,fill_norm,RF,1,2,202,0.8044
serce,20%,fill_norm,NB,1,1,101,0.622
serce,20%,fill_norm,NB,1,2,202,0.621
serce,20%,fill_norm,XGBoost,1,1,101,0.827
serce,20%,fill_norm,XGBoost,1,2,202,0.7803
serce,20%,all,RF,1,1,101,0.854
serce,20%,all,RF,1,2,202,0.8332
serce,20%,all,NB,1,1,101,0.7585
serce,20%,all,NB,1,2,202,0.7362
serce,20%,all,XGBoost,1,1,101,0.8275
serce,20%,all,XGBoost,1,2,202,0.8183
serce,20%,raw,RF,2,1,101,0.8202
serce,20%,raw,RF,2,2,202,0.8357
serce,20%,raw,NB,2,1,101,0.541
serce,20%,raw,NB,2,2,202,0.58
serce,20%,raw,XGBoost,2,1,101,0.8182
serce,20%,raw,XGBoost,2,2,202,0.8435
serce,20%,fill,RF,2,1,101,0.8277
serce,20%,fill,RF,2,2,202,0.7946
serce,20%,fill,NB,2,1,101,0.6768
serce,20%,fill,NB,2,2,202,0.6401
serce,20%,fill,XGBoost,2,1,101,0.8007
serce,20%,fill,XGBoost,2,2,202,0.8008
serce,20%,remove_fill,RF,2,1,101,0.8321
serce,20%,remove_fill,RF,2,2,202,0.8014
serce,20%,remove_fill,NB,2,1,101,0.7478
serce,20%,remove_fill,NB,2,2,202,0.7027
serce,20%,remove_fill,XGBoost,2,1,101,0.8072
serce,20%,remove_fill,XGBoost,2,2,202,0.7852
serce,20%,fill_norm,RF,2,1,101,0.8277
serce,20%,fill_norm,RF,2,2,202,0.7945
serce,20%,fill_norm,NB,2,1,101,0.6767
serce,20%,fill_norm,NB,2,2,202,0.6411
serce,20%,fill_norm,XGBoost,2,1,101,0.8007
serce,20%,fill_norm,XGBoost,2,2,202,0.8008
serce,20%,all,RF,2,1,101,0.8325
serce,20%,all,RF,2,2,202,0.8023
serce,20%,all,NB,2,1,101,0.7478
serce,20%,all,NB,2,2,202,0.7027
serce,20%,all,XGBoost,2,1,101,0.8072
serce,20%,all,XGBoost,2,2,202,0.7852
serce,40%,raw,RF,1,1,101,0.7486
serce,40%,raw,RF,1,2,202,0.7459
serce,40%,raw,NB,1,1,101,0.5365
serce,40%,raw,NB,1,2,202,0.5295
serce,40%,raw,XGBoost,1,1,101,0.7492
serce,40%,raw,XGBoost,1,2,202,0.7375
serce,40%,fill,RF,1,1,101,0.7423
serce,40%,fill,RF,1,2,202,0.7022
serce,40%,fill,NB,1,1,101,0.631
serce,40%,fill,NB,1,2,202,0.5972
serce,40%,fill,XGBoost,1,1,101,0.7497
serce,40%,fill,XGBoost,1,2,202,0.6983
serce,40%,remove_fill,RF,1,1,101,0.7174
serce,40%,remove_fill,RF,1,2,202,0.6848
serce,40%,remove_fill,NB,1,1,101,0.6327
serce,40%,remove_fill,NB,1,2,202,0.5755
serce,40%,remove_fill,XGBoost,1,1,101,0.7212
serce,40%,remove_fill,XGBoost,1,2,202,0.6675
serce,40%,fill_norm,RF,1,1,101,0.7418
serce,40%,fill_norm,RF,1,2,202,0.7015
serce,40%,fill_norm,NB,1,1,101,0.6315
serce,40%,fill_norm,NB,1,2,202,0.5983
serce,40%,fill_norm,XGBoost,1,1,101,0.7497
serce,40%,fill_norm,XGBoost,1,2,202,0.6983
serce,40%,all,RF,1,1,101,0.7165
serce,40%,all,RF,1,2,202,0.6848
serce,40%,all,NB,1,1,101,0.633
serce,40%,all,NB,1,2,202,0.5765
serce,40%,all,XGBoost,1,1,101,0.7212
serce,40%,all,XGBoost,1,2,202,0.6675
serce,40%,raw,RF,2,1,101,0.7089
serce,40%,raw,RF,2,2,202,0.6609
serce,40%,raw,NB,2,1,101,0.4885
serce,40%,raw,NB,2,2,202,0.414
serce,40%,raw,XGBoost,2,1,101,0.719
serce,40%,raw,XGBoost,2,2,202,0.7013
serce,40%,fill,RF,2,1,101,0.7495
serce,40%,fill,RF,2,2,202,0.7359
serce,40%,fill,NB,2,1,101,0.5415
serce,40%,fill,NB,2,2,202,0.5385
serce,40%,fill,XGBoost,2,1,101,0.7267
serce,40%,fill,XGBoost,2,2,202,0.7352
serce,40%,remove_fill,RF,2,1,101,0.7621
serce,40%,remove_fill,RF,2,2,202,0.7436
serce,40%,remove_fill,NB,2,1,101,0.5987
serce,40%,remove_fill,NB,2,2,202,0.6088
serce,40%,remove_fill,XGBoost,2,1,101,0.7342
serce,40%,remove_fill,XGBoost,2,2,202,0.7322
serce,40%,fill_norm,RF,2,1,101,0.7492
serce,40%,fill_norm,RF,2,2,202,0.7367
serce,40%,fill_norm,NB,2,1,101,0.5422
serce,40%,fill_norm,NB,2,2,202,0.5387
serce,40%,fill_norm,XGBoost,2,1,101,0.7267
serce,40%,fill_norm,XGBoost,2,2,202,0.7352
serce,40%,all,RF,2,1,101,0.7622
serce,40%,all,RF,2,2,202,0.7443
serce,40%,all,NB,2,1,101,0.5987
