Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
serce,50%,raw,NB,0.5143,0.0677,9
serce,50%,raw,RF,0.679,0.0749,9
serce,50%,raw,XGBoost,0.7042,0.0667,9
serce,50%,remove_fill,MLP,0.4998,0.0261,9
serce,50%,remove_fill,NB,0.6108,0.031,9
serce,50%,remove_fill,RF,0.7185,0.0784,9
serce,50%,remove_fill,XGBoost,0.7165,0.0712,9
serce,ORYGINALNY,raw,MLP,0.8363,0.02,3
serce,ORYGINALNY,raw,NB,0.9038,0.0076,3
serce,ORYGINALNY,raw,RF,0.9028,0.0055,3
serce,ORYGINALNY,raw,XGBoost,0.8911,0.0065,3
