Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
kredyty,40%,fill,MLP,0.4793,0.0207,9
kredyty,40%,fill,NB,0.4983,0.0304,9
kredyty,40%,fill,RF,0.5401,0.0278,9
kredyty,40%,fill,XGBoost,0.5535,0.0141,9
kredyty,40%,fill_knn,MLP,0.4847,0.02,9
kredyty,40%,fill_knn,NB,0.5121,0.0197,9
kredyty,40%,fill_knn,RF,0.5471,0.0245,9
kredyty,40%,fill_knn,XGBoost,0.5474,0.013,9
kredyty,40%,fill_norm,MLP,0.4822,0.0229,9
kredyty,40%,fill_norm,NB,0.5454,0.0255,9
kredyty,40%,fill_norm,RF,0.5401,0.0283,9
kredyty,40%,fill_norm,XGBoost,0.5535,0.0141,9
kredyty,40%,raw,MLP,0.4867,0.0252,9
kredyty,40%,raw,NB,0.5089,0.0192,9
kredyty,40%,raw,RF,0.5295,0.022,9
kredyty,40%,raw,XGBoost,0.548,0.0149,9
kredyty,40%,remove_fill,MLP,0.4772,0.0259,9
kredyty,40%,remove_fill,NB,0.5442,0.0257,9
kredyty,40%,remove_fill,RF,0.5457,0.0162,9
kredyty,40%,remove_fill,XGBoost,0.5579,0.0139,9
kredyty,50%,all,MLP,0.5074,0.0232,9
kredyty,50%,all,NB,0.5611,0.0209,9
kredyty,50%,all,RF,0.5401,0.0383,9
kredyty,50%,all,XGBoost,0.5871,0.0249,9
kredyty,50%,all_knn,MLP,0.4957,0.0177,9
kredyty,50%,all_knn,NB,0.5621,0.0199,9
kredyty,50%,all_knn,RF,0.5394,0.0291,9
kredyty,50%,all_knn,XGBoost,0.5582,0.0218,9
kredyty,50%,fill,MLP,0.4803,0.0153,9
kredyty,50%,fill,NB,0.5263,0.0514,9
kredyty,50%,fill,RF,0.5458,0.0253,9
kredyty,50%,fill,XGBoost,0.5799,0.0262,9
kredyty,50%,fill_knn,MLP,0.4704,0.0139,9
kredyty,50%,fill_knn,NB,0.5209,0.0417,9
kredyty,50%,fill_knn,RF,0.5463,0.0292,9
kredyty,50%,fill_knn,XGBoost,0.5541,0.0355,9
kredyty,50%,fill_norm,MLP,0.5097,0.0236,9
kredyty,50%,fill_norm,NB,0.5682,0.0226,9
kredyty,50%,fill_norm,RF,0.5456,0.0254,9
kredyty,50%,fill_norm,XGBoost,0.5799,0.0262,9
kredyty,50%,raw,MLP,0.4901,0.0145,9
kredyty,50%,raw,NB,0.5121,0.0374,9
kredyty,50%,raw,RF,0.5305,0.0251,9
kredyty,50%,raw,XGBoost,0.5552,0.0303,9
kredyty,50%,remove_fill,MLP,0.4871,0.0176,9
kredyty,50%,remove_fill,NB,0.5477,0.0416,9
kredyty,50%,remove_fill,RF,0.5402,0.0385,9
kredyty,50%,remove_fill,XGBoost,0.5871,0.0249,9
kredyty,ORYGINALNY,raw,MLP,0.459,0.0131,3
kredyty,ORYGINALNY,raw,NB,0.6316,0.0051,3
kredyty,ORYGINALNY,raw,RF,0.6839,0.0031,3
kredyty,ORYGINALNY,raw,XGBoost,0.6828,0.0105,3
rezygnacje,10%,all,MLP,0.7889,0.0176,9
rezygnacje,10%,all,NB,0.7684,0.0034,9
rezygnacje,10%,all,RF,0.8349,0.0085,9
rezygnacje,10%,all,XGBoost,0.8425,0.0104,9
