Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
zapalenia,20%,all_knn,RF,1,3,303,0.9077
zapalenia,20%,all_knn,NB,1,1,101,0.8446
zapalenia,20%,all_knn,NB,1,2,202,0.834
zapalenia,20%,all_knn,NB,1,3,303,0.8564
zapalenia,20%,all_knn,MLP,1,1,101,0.8452
zapalenia,20%,all_knn,MLP,1,2,202,0.8211
zapalenia,20%,all_knn,MLP,1,3,303,0.836
zapalenia,20%,all_knn,XGBoost,1,1,101,0.8806
zapalenia,20%,all_knn,XGBoost,1,2,202,0.8931
zapalenia,20%,all_knn,XGBoost,1,3,303,0.9101
zapalenia,20%,raw,RF,2,1,101,0.8885
zapalenia,20%,raw,RF,2,2,202,0.8824
zapalenia,20%,raw,RF,2,3,303,0.8911
zapalenia,20%,raw,NB,2,1,101,0.5808
zapalenia,20%,raw,NB,2,2,202,0.5552
zapalenia,20%,raw,NB,2,3,303,0.5619
zapalenia,20%,raw,MLP,2,1,101,0.5732
zapalenia,20%,raw,MLP,2,2,202,0.5547
zapalenia,20%,raw,MLP,2,3,303,0.5848
zapalenia,20%,raw,XGBoost,2,1,101,0.869
zapalenia,20%,raw,XGBoost,2,2,202,0.8777
zapalenia,20%,raw,XGBoost,2,3,303,0.8812
zapalenia,20%,fill,RF,2,1,101,0.8896
zapalenia,20%,fill,RF,2,2,202,0.8872
zapalenia,20%,fill,RF,2,3,303,0.8932
zapalenia,20%,fill,NB,2,1,101,0.6079
zapalenia,20%,fill,NB,2,2,202,0.5563
zapalenia,20%,fill,NB,2,3,303,0.567
zapalenia,20%,fill,MLP,2,1,101,0.6048
zapalenia,20%,fill,MLP,2,2,202,0.5357
zapalenia,20%,fill,MLP,2,3,303,0.5671
zapalenia,20%,fill,XGBoost,2,1,101,0.8767
zapalenia,20%,fill,XGBoost,2,2,202,0.8875
zapalenia,20%,fill,XGBoost,2,3,303,0.8944
zapalenia,20%,remove_fill,RF,2,1,101,0.8771
zapalenia,20%,remove_fill,RF,2,2,202,0.868
zapalenia,20%,remove_fill,RF,2,3,303,0.8729
zapalenia,20%,remove_fill,NB,2,1,101,0.7763
zapalenia,20%,remove_fill,NB,2,2,202,0.7892
zapalenia,20%,remove_fill,NB,2,3,303,0.7755
zapalenia,20%,remove_fill,MLP,2,1,101,0.6063
zapalenia,20%,remove_fill,MLP,2,2,202,0.5796
zapalenia,20%,remove_fill,MLP,2,3,303,0.5978
zapalenia,20%,remove_fill,XGBoost,2,1,101,0.8507
zapalenia,20%,remove_fill,XGBoost,2,2,202,0.8671
zapalenia,20%,remove_fill,XGBoost,2,3,303,0.8805
zapalenia,20%,fill_norm,RF,2,1,101,0.8894
zapalenia,20%,fill_norm,RF,2,2,202,0.8869
zapalenia,20%,fill_norm,RF,2,3,303,0.8931
zapalenia,20%,fill_norm,NB,2,1,101,0.5893
zapalenia,20%,fill_norm,NB,2,2,202,0.5862
zapalenia,20%,fill_norm,NB,2,3,303,0.5899
zapalenia,20%,fill_norm,MLP,2,1,101,0.8304
zapalenia,20%,fill_norm,MLP,2,2,202,0.8488
zapalenia,20%,fill_norm,MLP,2,3,303,0.8356
zapalenia,20%,fill_norm,XGBoost,2,1,101,0.8767
zapalenia,20%,fill_norm,XGBoost,2,2,202,0.8875
zapalenia,20%,fill_norm,XGBoost,2,3,303,0.8944
zapalenia,20%,all,RF,2,1,101,0.8776
zapalenia,20%,all,RF,2,2,202,0.8681
zapalenia,20%,all,RF,2,3,303,0.8729
zapalenia,20%,all,NB,2,1,101,0.8041
zapalenia,20%,all,NB,2,2,202,0.8076
zapalenia,20%,all,NB,2,3,303,0.8002
zapalenia,20%,all,MLP,2,1,101,0.8249
zapalenia,20%,all,MLP,2,2,202,0.8131
zapalenia,20%,all,MLP,2,3,303,0.839
zapalenia,20%,all,XGBoost,2,1,101,0.8507
zapalenia,20%,all,XGBoost,2,2,202,0.8671
zapalenia,20%,all,XGBoost,2,3,303,0.8805
zapalenia,20%,fill_knn,RF,2,1,101,0.8862
zapalenia,20%,fill_knn,RF,2,2,202,0.8834
zapalenia,20%,fill_knn,RF,2,3,303,0.8839
zapalenia,20%,fill_knn,NB,2,1,101,0.5827
zapalenia,20%,fill_knn,NB,2,2,202,0.551
zapalenia,20%,fill_knn,NB,2,3,303,0.5689
zapalenia,20%,fill_knn,MLP,2,1,101,0.6016
zapalenia,20%,fill_knn,MLP,2,2,202,0.5347
zapalenia,20%,fill_knn,MLP,2,3,303,0.5245
zapalenia,20%,fill_knn,XGBoost,2,1,101,0.8805
zapalenia,20%,fill_knn,XGBoost,2,2,202,0.8792
zapalenia,20%,fill_knn,XGBoost,2,3,303,0.8937
zapalenia,20%,all_knn,RF,2,1,101,0.8824
zapalenia,20%,all_knn,RF,2,2,202,0.8727
zapalenia,20%,all_knn,RF,2,3,303,0.8769
zapalenia,20%,all_knn,NB,2,1,101,0.8084
zapalenia,20%,all_knn,NB,2,2,202,0.8111
zapalenia,20%,all_knn,NB,2,3,303,0.8034
zapalenia,20%,all_knn,MLP,2,1,101,0.8322
zapalenia,20%,all_knn,MLP,2,2,202,0.82
zapalenia,20%,all_knn,MLP,2,3,303,0.8438
zapalenia,20%,all_knn,XGBoost,2,1,101,0.8718
zapalenia,20%,all_knn,XGBoost,2,2,202,0.8705
zapalenia,20%,all_knn,XGBoost,2,3,303,0.8789
zapalenia,20%,raw,RF,3,1,101,0.8818
zapalenia,20%,raw,RF,3,2,202,0.8803
zapalenia,20%,raw,RF,3,3,303,0.8761
zapalenia,20%,raw,NB,3,1,101,0.5697
zapalenia,20%,raw,NB,3,2,202,0.555
zapalenia,20%,raw,NB,3,3,303,0.5441
zapalenia,20%,raw,MLP,3,1,101,0.5648
zapalenia,20%,raw,MLP,3,2,202,0.5554
zapalenia,20%,raw,MLP,3,3,303,0.58
zapalenia,20%,raw,XGBoost,3,1,101,0.9134
zapalenia,20%,raw,XGBoost,3,2,202,0.9062
zapalenia,20%,raw,XGBoost,3,3,303,0.8718
zapalenia,20%,fill,RF,3,1,101,0.8842
zapalenia,20%,fill,RF,3,2,202,0.8911
zapalenia,20%,fill,RF,3,3,303,0.8782
zapalenia,20%,fill,NB,3,1,101,0.643
zapalenia,20%,fill,NB,3,2,202,0.6173
zapalenia,20%,fill,NB,3,3,303,0.6417
zapalenia,20%,fill,MLP,3,1,101,0.5826
zapalenia,20%,fill,MLP,3,2,202,0.6101
zapalenia,20%,fill,MLP,3,3,303,0.5458
zapalenia,20%,fill,XGBoost,3,1,101,0.9126
zapalenia,20%,fill,XGBoost,3,2,202,0.9116
zapalenia,20%,fill,XGBoost,3,3,303,0.9103
zapalenia,20%,remove_fill,RF,3,1,101,0.8992
zapalenia,20%,remove_fill,RF,3,2,202,0.8849
zapalenia,20%,remove_fill,RF,3,3,303,0.8869
zapalenia,20%,remove_fill,NB,3,1,101,0.8022
zapalenia,20%,remove_fill,NB,3,2,202,0.8052
zapalenia,20%,remove_fill,NB,3,3,303,0.7914
zapalenia,20%,remove_fill,MLP,3,1,101,0.5676
zapalenia,20%,remove_fill,MLP,3,2,202,0.5847
zapalenia,20%,remove_fill,MLP,3,3,303,0.5612
zapalenia,20%,remove_fill,XGBoost,3,1,101,0.9187
zapalenia,20%,remove_fill,XGBoost,3,2,202,0.9108
zapalenia,20%,remove_fill,XGBoost,3,3,303,0.9003
zapalenia,20%,fill_norm,RF,3,1,101,0.8842
zapalenia,20%,fill_norm,RF,3,2,202,0.8911
zapalenia,20%,fill_norm,RF,3,3,303,0.8783
zapalenia,20%,fill_norm,NB,3,1,101,0.6006
zapalenia,20%,fill_norm,NB,3,2,202,0.5715
zapalenia,20%,fill_norm,NB,3,3,303,0.5927
zapalenia,20%,fill_norm,MLP,3,1,101,0.8498
zapalenia,20%,fill_norm,MLP,3,2,202,0.859
zapalenia,20%,fill_norm,MLP,3,3,303,0.8518
zapalenia,20%,fill_norm,XGBoost,3,1,101,0.9126
zapalenia,20%,fill_norm,XGBoost,3,2,202,0.9116
zapalenia,20%,fill_norm,XGBoost,3,3,303,0.9103
zapalenia,20%,all,RF,3,1,101,0.8988
zapalenia,20%,all,RF,3,2,202,0.8846
zapalenia,20%,all,RF,3,3,303,0.8862
zapalenia,20%,all,NB,3,1,101,0.8534
zapalenia,20%,all,NB,3,2,202,0.842
zapalenia,20%,all,NB,3,3,303,0.8352
